Folder,Correct,Total,Accuracy
goodware/1,3,10,0.300
goodware/2,8,10,0.800
goodware/3,7,10,0.700
goodware/4,9,10,0.900
goodware/5,7,10,0.700
goodware/6,7,10,0.700
goodware/7,1,2,0.500
malware/1,6,10,0.600
malware/10,9,10,0.900
malware/11,9,10,0.900
malware/2,6,10,0.600
malware/3,10,10,1.000
malware/4,10,10,1.000
malware/5,9,10,0.900
malware/6,1,10,0.100
malware/7,9,10,0.900
malware/8,10,10,1.000
malware/9,10,10,1.000

GOODWARE_AVERAGE (7 folders),,,0.657
MALWARE_AVERAGE (11 folders),,,0.809
OVERALL_AVERAGE,,,0.733
