threshold,f1,accuracy,precision,recall,fpr,fnr,TP,TN,FP,FN
0.5,0.8861788617886179,0.7971014492753623,0.7956204379562044,1.0,0.9655172413793104,0.0,327,3,84,0
0.505,0.8861788617886179,0.7971014492753623,0.7956204379562044,1.0,0.9655172413793104,0.0,327,3,84,0
0.51,0.8861788617886179,0.7971014492753623,0.7956204379562044,1.0,0.9655172413793104,0.0,327,3,84,0
0.515,0.8861788617886179,0.7971014492753623,0.7956204379562044,1.0,0.9655172413793104,0.0,327,3,84,0
0.52,0.8861788617886179,0.7971014492753623,0.7956204379562044,1.0,0.9655172413793104,0.0,327,3,84,0
0.525,0.8846675712347355,0.7946859903381642,0.7951219512195122,0.9969418960244648,0.9655172413793104,0.0030581039755351682,326,3,84,1
0.53,0.8831521739130436,0.7922705314009661,0.7946210268948656,0.9938837920489296,0.9655172413793104,0.0061162079510703364,325,3,84,2
0.535,0.8831521739130436,0.7922705314009661,0.7946210268948656,0.9938837920489296,0.9655172413793104,0.0061162079510703364,325,3,84,2
0.54,0.8816326530612244,0.7898550724637681,0.7941176470588235,0.9908256880733946,0.9655172413793104,0.009174311926605505,324,3,84,3
0.545,0.8801089918256131,0.7874396135265701,0.7936117936117936,0.9877675840978594,0.9655172413793104,0.012232415902140673,323,3,84,4
0.55,0.8785811732605731,0.785024154589372,0.7931034482758621,0.9847094801223242,0.9655172413793104,0.01529051987767584,322,3,84,5
0.555,0.8797814207650273,0.7874396135265701,0.7950617283950617,0.9847094801223242,0.9540229885057471,0.01529051987767584,322,4,83,5
0.56,0.8806584362139916,0.7898550724637681,0.7985074626865671,0.981651376146789,0.9310344827586207,0.01834862385321101,321,6,81,6
0.5650000000000001,0.8855172413793103,0.7995169082125604,0.8065326633165829,0.981651376146789,0.8850574712643678,0.01834862385321101,321,10,77,6
0.5700000000000001,0.8953974895397491,0.8188405797101449,0.823076923076923,0.981651376146789,0.7931034482758621,0.01834862385321101,321,18,69,6
0.5750000000000001,0.9075391180654339,0.8429951690821256,0.848404255319149,0.9755351681957186,0.6551724137931034,0.024464831804281346,319,30,57,8
0.5800000000000001,0.9067431850789096,0.8429951690821256,0.8540540540540541,0.9663608562691132,0.6206896551724138,0.03363914373088685,316,33,54,11
0.5850000000000001,0.9072463768115941,0.8454106280193237,0.8622589531680441,0.9571865443425076,0.5747126436781609,0.04281345565749235,313,37,50,14
0.5900000000000001,0.9067055393586007,0.8454106280193237,0.8662952646239555,0.9510703363914373,0.5517241379310345,0.04892966360856269,311,39,48,16
0.5950000000000001,0.906158357771261,0.8454106280193237,0.8704225352112676,0.944954128440367,0.5287356321839081,0.05504587155963303,309,41,46,18
0.6000000000000001,0.9037037037037037,0.8429951690821256,0.8764367816091954,0.9327217125382263,0.4942528735632184,0.0672782874617737,305,44,43,22
0.6050000000000001,0.9036144578313253,0.8454106280193237,0.8902077151335311,0.9174311926605505,0.42528735632183906,0.08256880733944955,300,50,37,27
